entity,ramsar,ramsar-site,special-protection-area,wikidata,name,wikipedia,documentation-url,start-date,end-date,entry-date
612051,UK11055,720,UK11055,Q7232468,Portsmouth Harbour,Portsmouth_Harbour,,1995-02-28,,
612052,UK11056,513,UK11056,Q7305880,Redgrave & South Lopham Fens,Redgrave_and_South_Lopham_Fens,,1991-02-15,,
612053,UK11057,325,,Q7322249,Ribble & Alt Estuaries,Ribble_and_Alt_Estuaries,,,,
612054,UK11060,221,,Q7370007,Rostherne Mere,Rostherne_Mere,,,,
612055,UK11061,588,,Q7375211,Roydon Common,Roydon_Common,,,,
612056,UK11062,533,,Q822190,Rutland Water,Rutland_Water,,,,
612057,UK11081,67,,Q12068771,Severn Estuary,Severn_Estuary,,,,
612058,UK11063,965,,Q502233,Solent & Southampton Water,Southampton_Water,,,,
612059,UK11064,914,,Q6376320,Somerset Levels & Moors,Somerset_Levels_and_Moors,,,,
612062,UK11067,662,,Q27990758,Stour and Orwell Estuaries,Stour_Estuary,,,,
612064,UK11069,1025,,Q3059075,Thames Estuary & Marshes,Thames_Estuary,,,,
612065,UK11070,664,,Q55099023,Thanet Coast & Sandwich Bay,Thanet_Coast,,,,
612066,UK11082,298,,Q5249904,The Dee Estuary,Dee_Estuary,,,,
612067,UK11071,299,UK9012011,Q3506402,The Swale,The_Swale,,,,
612068,UK11072,395,,Q1463998,The Wash,The_Wash,,,,
612070,UK11083,2023,UK9020296,Q28407031,Upper Nene Valley Gravel Pits,Upper_Nene_Valley_Gravel_Pits,,,,
612072,UK11076,538,,Q7963543,Walmore Common,Walmore_Common,,,,
612073,UK11077,752,UK11077,Q7998320,Wicken Fen,Wicken_Fen,,,,
612074,UK11078,753,UK11078,Q23103563,Woodwalton Fen,Woodwalton_Fen,,,,
612075,UK11021,964,,Q16974091,Dorset Heathlands,Dorset_Heaths,,,,
612076,UK11065,1038,,,South West London Waterbodies,,,,,
612077,UK11068,741,,,Teesmouth & Cleveland Coast,,,,,
612078,UK11066,646,,,Stodmarsh,,,,,
612079,UK11032,303,,,Irthinghead Mires,,,,,
612080,UK11079,341,,,Upper Solway Flats & Marshes,,,,,
612081,UK11080,891,,,Midland Meres and Mosses Phase 2,,,,,
612082,UK11074,647,,,Thursley & Ockley Bogs,,,,,
612083,UK11023,,,,"Dungeness, Romney Marsh and Rye Bay",,https://www.gov.uk/government/publications/special-protection-area-and-ramsar-site-dungeness-romney-marsh-and-rye-bay,,,
612084,UK11042,2202,,,The Mersey Narrows and North Wirral Foreshore,,,,,
612085,UK11043,653,,,Midland Meres & Mosses,,,,,
612086,UK11049,1019,,,Northumbria Coast,,,,,
